71万 | 12791元/平米 | 辽师 | 2室1厅 | 55.51平米 | 南 北 | 简装 | 无
85万 | 12464元/平米 | 恒达花园（沙河口） | 2室1厅 | 68.2平米 | 南 北 | 简装 | 无
95万 | 12052元/平米 | 锦华中园 | 2室1厅 | 78.83平米 | 南 北 | 精装 | 无
233万 | 20605元/平米 | 未来星城 | 5室1厅 | 113.08平米 | 南 北 | 精装 | 无
409万 | 30734元/平米 | 幸福e家五期 | 3室2厅 | 133.08平米 | 南 北 | 精装 | 有
140万 | 19113元/平米 | 阳光小筑 | 2室2厅 | 73.25平米 | 南 北 | 精装 | 无
84万 | 11939元/平米 | 北甸街 | 2室1厅 | 70.36平米 | 南 北 | 简装 | 无
380万 | 29612元/平米 | 星海人家 | 3室2厅 | 128.33平米 | 南 北 | 精装 | 无
109万 | 13672元/平米 | 锦泉南园 | 2室1厅 | 79.73平米 | 南 北 | 精装 | 无
74.5万 | 11309元/平米 | 幸福小区 | 2室1厅 | 65.88平米 | 南 北 | 简装 | 无
60万 | 9024元/平米 | 锦云南园 | 2室1厅 | 66.49平米 | 东 南 | 精装 | 无
74.8万 | 9676元/平米 | 绿波小区 | 2室2厅 | 77.31平米 | 东 南 北 | 简装 | 无
282万 | 23214元/平米 | 星海中龙园 | 3室2厅 | 121.48平米 | 南 北 | 精装 | 无
65万 | 14119元/平米 | 华阳风尚 | 1室0厅 | 46.04平米 | 东 | 精装 | 有
545万 | 27636元/平米 | 大连明珠 | 3室1厅 | 197.21平米 | 南 北 | 精装 | 有
85万 | 10399元/平米 | 锦霞北园 | 2室1厅 | 81.74平米 | 南 北 | 精装 | 无
84万 | 12337元/平米 | 锦华北园 | 2室1厅 | 68.09平米 | 东南 | 毛坯 | 无
139.8万 | 14273元/平米 | 锦城园C区 | 2室2厅 | 97.95平米 | 南 北 | 精装 | 无
107万 | 14317元/平米 | 枫林绿洲 | 2室2厅 | 74.74平米 | 南 | 精装 | 有
318万 | 21230元/平米 | 壹品星海一期 | 3室2厅 | 149.79平米 | 南 北 | 毛坯 | 有
290万 | 20042元/平米 | 大华御庭 | 4室2厅 | 144.7平米 | 南 北 | 精装 | 有
108万 | 19011元/平米 | 宏都筑景Ⅰ期 | 2室1厅 | 56.81平米 | 南 | 精装 | 有
430万 | 19790元/平米 | 星海国宝 | 3室1厅 | 217.29平米 | 南 北 | 简装 | 有
407万 | 30155元/平米 | 幸福e家五期 | 3室2厅 | 134.97平米 | 南 北 | 精装 | 有
135万 | 14815元/平米 | 泰安花园 | 2室2厅 | 91.13平米 | 南 北 | 精装 | 无
68.5万 | 11090元/平米 | 侯二小区 | 2室1厅 | 61.77平米 | 南 北 | 简装 | 无
55万 | 10048元/平米 | 春晖巷 | 2室1厅 | 54.74平米 | 南 北 | 简装 | 无
108万 | 15405元/平米 | 锦华北园 | 3室2厅 | 70.11平米 | 南 北 | 精装 | 无
198万 | 20993元/平米 | 观山满庭芳 | 2室1厅 | 94.32平米 | 南 北 | 精装 | 无
74.5万 | 10099元/平米 | 侯二小区 | 2室1厅 | 73.77平米 | 西南 东北 | 简装 | 无
565万 | 25520元/平米 | 大连明珠 | 4室2厅 | 221.4平米 | 南 北 | 精装 | 有
48万 | 8157元/平米 | 锦云南园 | 2室1厅 | 58.85平米 | 南 北 | 精装 | 无
348万 | 29452元/平米 | 壹品星海二期 | 2室2厅 | 118.16平米 | 南 | 其他 | 有
